size,time
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,1
14,4
15,7
16,15
17,29
18,58
19,119
20,243
21,495
22,995
23,2183
24,4583
